"månad","institut","120 Summa tillgångar","103 Utlåning, Totalt","220 Summa skulder inkl. eget kapital","201 In-/upplåning, Totalt","203 Emitterade värdepapper","2035 Säkerställda obligationer, Emitterade"
"2021M05","Skandinaviska Enskilda Banken AB (Publ)",2974874,1817485,2974874,1784640,807527,321746
"2021M05","Swedbank AB (Publ)",1941607,1087245,1941607,1172269,419635,0
"2021M05","Svenska Handelsbanken AB (Publ)",2470349,1602112,2470349,1504770,701801,0
"2021M06","Skandinaviska Enskilda Banken AB (Publ)",2911812,1807154,2911812,1730236,799470,322588
"2021M06","Swedbank AB (Publ)",2071632,1143213,2071632,1269365,468517,0
"2021M06","Svenska Handelsbanken AB (Publ)",2403777,1624352,2403777,1423324,729724,0
"2021M07","Skandinaviska Enskilda Banken AB (Publ)",2980005,1827075,2980005,1807947,791049,325803
"2021M07","Swedbank AB (Publ)",2091188,1164532,2091188,1297660,456565,0
"2021M07","Svenska Handelsbanken AB (Publ)",2435321,1604884,2435321,1459670,725857,0
"2021M08","Skandinaviska Enskilda Banken AB (Publ)",3067485,1818929,3067485,1818265,761333,326930
"2021M08","Swedbank AB (Publ)",2264182,1178313,2264182,1292266,503996,0
"2021M08","Svenska Handelsbanken AB (Publ)",2546598,1610991,2546598,1500112,724760,0
"2021M09","Skandinaviska Enskilda Banken AB (Publ)",3050621,1838029,3050621,1864644,776313,327951
"2021M09","Swedbank AB (Publ)",2139898,1150258,2139898,1226358,539576,0
"2021M09","Svenska Handelsbanken AB (Publ)",2405956,1586442,2405956,1453989,701430,0
"2021M10","Skandinaviska Enskilda Banken AB (Publ)",3099428,1819246,3099428,1909972,763444,326005
"2021M10","Swedbank AB (Publ)",2186747,1158918,2186747,1279846,463591,0
"2021M10","Svenska Handelsbanken AB (Publ)",2446202,1567238,2446202,1512277,682558,0
"2021M11","Skandinaviska Enskilda Banken AB (Publ)",3286086,1855324,3286086,1946793,794333,328563
"2021M11","Swedbank AB (Publ)",2291818,1191826,2291818,1354996,410578,0
"2021M11","Svenska Handelsbanken AB (Publ)",2631035,1594317,2631035,1577562,714758,0
"2021M12","Skandinaviska Enskilda Banken AB (Publ)",2700140,1850035,2700140,1597591,729146,291120
"2021M12","Swedbank AB (Publ)",1831077,1132523,1831077,1104131,334531,0
"2021M12","Svenska Handelsbanken AB (Publ)",2258211,1612756,2258211,1337201,679276,0
"2022M01","Skandinaviska Enskilda Banken AB (Publ)",3182267,1864157,3182267,1952238,783205,298082
"2022M01","Swedbank AB (Publ)",2295406,1177890,2295406,1294806,519172,0
"2022M01","Svenska Handelsbanken AB (Publ)",2588232,1643243,2588232,1604204,719313,0
"2022M02","Skandinaviska Enskilda Banken AB (Publ)",3143057,1910432,3143057,1911646,772893,298421
"2022M02","Swedbank AB (Publ)",2492992,1269654,2492992,1390816,490788,0
"2022M02","Svenska Handelsbanken AB (Publ)",2661781,1665114,2661781,1666538,721556,0
"2022M03","Skandinaviska Enskilda Banken AB (Publ)",3212967,1922692,3212967,1945069,777100,318737
"2022M03","Swedbank AB (Publ)",2486207,1317877,2486207,1293588,403240,0
"2022M03","Svenska Handelsbanken AB (Publ)",2486956,1673935,2486956,1473972,725047,0
"2022M04","Skandinaviska Enskilda Banken AB (Publ)",3385317,1980551,3385317,2024627,781255,319534
"2022M04","Swedbank AB (Publ)",2910862,1327437,2910862,1423882,530894,0
"2022M04","Svenska Handelsbanken AB (Publ)",2810490,1726794,2810490,1733639,776426,0
"2022M05","Skandinaviska Enskilda Banken AB (Publ)",3508140,1988508,3508140,2041839,815797,321315
"2022M05","Swedbank AB (Publ)",3073305,1377794,3073305,1451218,452345,0
"2022M05","Svenska Handelsbanken AB (Publ)",2892922,1729616,2892922,1715503,774985,0
"2022M06","Skandinaviska Enskilda Banken AB (Publ)",3591362,2012847,3591362,2185294,816382,310570
"2022M06","Swedbank AB (Publ)",2907374,1389396,2907374,1247954,476675,0
"2022M06","Svenska Handelsbanken AB (Publ)",2668642,1730447,2668642,1544355,810446,0
"2022M07","Skandinaviska Enskilda Banken AB (Publ)",3494037,1998006,3494037,2123764,826374,310994
"2022M07","Swedbank AB (Publ)",2762883,1348644,2762883,1283870,511776,0
"2022M07","Svenska Handelsbanken AB (Publ)",2786059,1718281,2786059,1676224,816069,0
"2022M08","Skandinaviska Enskilda Banken AB (Publ)",3669433,2075999,3669433,2196604,847401,314538
"2022M08","Swedbank AB (Publ)",3123925,1362011,3123925,1300189,538128,0
"2022M08","Svenska Handelsbanken AB (Publ)",2941835,1758362,2941835,1745829,842620,0
"2022M09","Skandinaviska Enskilda Banken AB (Publ)",3730602,2125065,3730602,2238606,836824,312719
"2022M09","Swedbank AB (Publ)",3241444,1357006,3241444,1216744,530240,0
"2022M09","Svenska Handelsbanken AB (Publ)",2786514,1824501,2786514,1583765,847520,0
"2022M10","Skandinaviska Enskilda Banken AB (Publ)",3808710,2304326,3808710,2216496,954476,308986
"2022M10","Swedbank AB (Publ)",3385637,1362253,3385637,1367665,554560,0
"2022M10","Svenska Handelsbanken AB (Publ)",2943432,1823835,2943432,1749715,849799,0
"2022M11","Skandinaviska Enskilda Banken AB (Publ)",3675913,2172969,3675913,2156726,925889,312937
"2022M11","Swedbank AB (Publ)",3278766,1437883,3278766,1372073,545539,0
"2022M11","Svenska Handelsbanken AB (Publ)",2836012,1838801,2836012,1672047,816393,0
"2022M12","Skandinaviska Enskilda Banken AB (Publ)",2969997,2076304,2969997,1668099,793281,274317
"2022M12","Swedbank AB (Publ)",3194454,1420625,3194454,1191864,491927,0
"2022M12","Svenska Handelsbanken AB (Publ)",2495948,1695559,2495948,1333824,803800,0
"2023M01","Skandinaviska Enskilda Banken AB (Publ)",3500581,2165141,3500581,2081757,874670,278019
"2023M01","Swedbank AB (Publ)",3545185,1487101,3545185,1391627,573025,0
"2023M01","Svenska Handelsbanken AB (Publ)",2892405,1757730,2892405,1612318,814459,0
"2023M02","Skandinaviska Enskilda Banken AB (Publ)",3467715,2194756,3467715,2060928,878531,304578
"2023M02","Swedbank AB (Publ)",3831624,1451431,3831624,1360331,576990,0
"2023M02","Svenska Handelsbanken AB (Publ)",2930266,1763086,2930266,1528123,832829,0
"2023M03","Skandinaviska Enskilda Banken AB (Publ)",3251996,2147400,3251996,1855835,899591,315155
